checkpoint_id,band_min,sector,sector_ja,plot_lat,plot_lon,walk_min_from_core,spot_name,spot_category,spot_group,spot_lat,spot_lon,offset_m,Q1,Q2,Q3,Q4,Q5,quality_total,reason,source,origin,neighbours_15min,candidates_considered,runner_up_1,runner_up_2,runner_up_3
CP061,28,NW,北西,35.734924,139.758481,28.2,東覚寺,寺社,寺社,35.735478,139.758583,62,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから62m。次点は水神稲荷神社（107m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,8,25,水神稲荷神社／寺社／107m／品質0.92,田端八幡神社／寺社／130m／品質0.92,赤紙仁王尊／史跡・記念物／41m／品質0.884
CP062,28,N,北,35.738721,139.765564,28.9,東灌森稲荷神社,寺社,寺社,35.739777,139.76325,240,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから240m。次点は田端新町一丁目 児童遊園（144m・品質0.798）で、品質で上回ったため採用。,OpenStreetMap,新規選定,8,9,田端新町一丁目 児童遊園／公園／144m／品質0.798,瀧の家／そば／329m／品質1.0,かしやま／そば／332m／品質1.0
CP063,35,N,北,35.743176,139.773981,35.5,寿美鮨,すし,食,35.744762,139.772719,210,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから210m。次点はにじゅうぶんのいち（185m・品質0.958）で、品質で上回ったため採用。,OpenStreetMap,新規選定,6,22,にじゅうぶんのいち／そば／185m／品質0.958,満光寺／寺社／157m／品質0.92,満光寺／観光施設／159m／品質0.92
CP064,35,N,北,35.743221,139.782451,35.5,千祥,ラーメン,食,35.743316,139.781028,129,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから129m。次点は泊船軒（113m・品質0.884）で、品質で上回ったため採用。,OpenStreetMap,新規選定,6,9,泊船軒／観光施設／113m／品質0.884,らぁめん天元／麺／180m／品質0.84,荒川七丁目防災広場／公園／203m／品質0.798
CP065,35,NE,北東,35.740859,139.790494,34.2,アクロシティ,庭園,みどり,35.739785,139.791453,147,0.6,1.0,1.0,1.0,1.0,0.84,公園・庭園。短い屋号。仮プロットから147m。次点は地蔵堀児童遊園（188m・品質0.84）で、距離で上回ったため採用。,OpenStreetMap,新規選定,9,8,地蔵堀児童遊園／公園／188m／品質0.84,板紙発祥の地／史跡・記念物／274m／品質0.884,若宮八幡宮／寺社／299m／品質0.92
CP066,35,NE,北東,35.737739,139.797988,34.7,日慶寺,寺社,寺社,35.736822,139.797911,102,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから102m。次点は日枝神社（121m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,9,23,日枝神社／寺社／121m／品質0.92,ばん麺／ラーメン／227m／品質1.0,山王清兵衛の祠／史跡・記念物／92m／品質0.884
CP067,35,NE,北東,35.730965,139.800761,34.7,石浜神社,観光施設,文化財,35.729219,139.799041,249,0.8,1.0,1.0,1.0,1.0,0.92,区登録の文化財。短い屋号。仮プロットから249m。次点は延命寺（277m・品質0.92）で、距離で上回ったため採用。,荒川区 観光施設一覧,新規選定,12,8,延命寺／観光施設／277m／品質0.92,回向院／観光施設／302m／品質0.92,小塚原回向院／寺社／303m／品質0.92
CP068,35,NE,北東,35.725326,139.805557,35.9,尾張屋,そば,食,35.724903,139.804901,76,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから76m。次点はもんじゃ　こむぎ（98m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,12,43,もんじゃ　こむぎ／お好み焼き・もんじゃ／98m／品質1.0,小川家／そば／113m／品質1.0,大釜本店／ラーメン／151m／品質1.0
CP069,35,E,東,35.718517,139.806347,34.7,本龍寺,寺社,寺社,35.718481,139.803711,238,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから238m。次点は称福寺（240m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,11,40,称福寺／文化財のある寺社／240m／品質0.92,弘福寺／寺社／244m／品質0.92,牛嶋神社旧趾／史跡・記念物／219m／品質0.884
CP070,35,E,東,35.711762,139.808061,34.8,三喜,ラーメン,食,35.712711,139.80578,231,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから231m。次点は圓通寺（171m・品質0.92）で、品質で上回ったため採用。,OpenStreetMap,新規選定,12,22,圓通寺／寺社／171m／品質0.92,曳舟川の由来／史跡・記念物／125m／品質0.884,仁家／ラーメン／263m／品質1.0
CP071,35,E,東,35.704777,139.807059,35.0,妙見山別院,寺社,寺社,35.702654,139.807137,236,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから236m。次点は平川橋落橋記念碑（243m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,6,10,平川橋落橋記念碑／史跡・記念物／243m／品質0.92,横川橋児童遊園／公園／168m／品質0.84,もみじばし児童遊園／公園／200m／品質0.798
CP072,35,SE,南東,35.699,139.802546,35.0,日進公園,公園,みどり,35.698609,139.804277,162,0.6,1.0,1.0,1.0,1.0,0.84,公園・庭園。短い屋号。仮プロットから162m。次点は野見宿禰神社（254m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,7,6,野見宿禰神社／寺社／254m／品質0.92,緑町公園／公園／314m／品質0.84,すみだ北斎美術館／museum／350m／品質0.764
CP073,35,SE,南東,35.695556,139.794794,35.1,元太丸,すし,食,35.695504,139.794296,45,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから45m。次点は東京油組総本店（79m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,10,45,東京油組総本店／ラーメン／79m／品質1.0,鶏林／ラーメン／99m／品質1.0,玉屋／麺／119m／品質0.84
CP074,35,SE,南東,35.689419,139.789023,34.6,浜町公園,公園,みどり,35.688252,139.7889,130,0.6,1.0,1.0,1.0,1.0,0.84,公園・庭園。短い屋号。仮プロットから130m。次点は明治観音堂（284m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,9,9,明治観音堂／史跡・記念物／284m／品質0.92,避難記念／史跡・記念物／310m／品質0.884,御臨幸記念碑／史跡・記念物／345m／品質0.92
CP075,35,S,南,35.683031,139.785868,35.9,そば 甲州屋,そば,食,35.684279,139.785822,139,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから139m。次点は水天宮（83m・品質0.92）で、品質で上回ったため採用。,OpenStreetMap,新規選定,8,27,水天宮／寺社／83m／品質0.92,博多ラーメン しばらく／ラーメン／191m／品質0.958,三豊麺／ラーメン／241m／品質1.0
CP076,35,S,南,35.682063,139.777458,35.3,海運橋,史跡・記念物,史跡,35.682222,139.777627,23,0.8,1.0,1.0,1.0,1.0,0.92,史跡・記念物。短い屋号。仮プロットから23m。次点はかいうんはし（39m・品質0.884）で、品質で上回ったため採用。,OpenStreetMap,新規選定,8,26,かいうんはし／史跡・記念物／39m／品質0.884,銀行発祥の地／史跡・記念物／48m／品質0.884,海運橋親柱／区民有形文化財／53m／品質0.884
CP077,35,S,南,35.683184,139.769123,34.6,一石橋の親柱,区民有形文化財,文化財,35.684118,139.770925,193,0.8,1.0,1.0,0.8,1.0,0.884,区登録の文化財。短い屋号。仮プロットから193m。次点はやぶ久（290m・品質1.0）で、距離で上回ったため採用。,中央区 文化財一覧,新規選定,10,27,やぶ久／そば／290m／品質1.0,几号水準点／史跡・記念物／224m／品質0.884,一石橋迷子しらせ石標／史跡・記念物／225m／品質0.842
CP078,35,S,南,35.685735,139.761315,35.0,市内最初ノ竝木,史跡・記念物,史跡,35.68611,139.761493,45,0.8,1.0,1.0,0.8,1.0,0.884,史跡・記念物。短い屋号。仮プロットから45m。次点は大手門渡櫓（117m・品質0.884）で、距離で上回ったため採用。,OpenStreetMap,新規選定,9,21,大手門渡櫓／史跡・記念物／117m／品質0.884,将門の首塚／寺社／211m／品質0.92,三の丸尚蔵館／史跡・記念物／194m／品質0.884
CP079,35,SW,南西,35.691736,139.75669,34.1,まる竹,そば,食,35.691021,139.757374,101,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから101m。次点は毎日神社（111m・品質0.92）で、品質で上回ったため採用。,OpenStreetMap,新規選定,8,11,毎日神社／寺社／111m／品質0.92,竹橋門跡／史跡・記念物／178m／品質0.92,一橋徳川家 屋敷跡／史跡・記念物／253m／品質0.92
CP080,35,SW,南西,35.694968,139.749269,35.9,北の丸公園,史跡・記念物,史跡,35.694307,139.749291,74,0.8,1.0,1.0,1.0,1.0,0.92,史跡・記念物。短い屋号。仮プロットから74m。次点は実践倫理宏正会（80m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,7,32,実践倫理宏正会／寺社／80m／品質0.92,世継稲荷／寺社／129m／品質0.92,高燈篭／史跡・記念物／44m／品質0.884
CP081,35,SW,南西,35.701453,139.746556,35.5,もみじ屋,お好み焼き・もんじゃ,食,35.699938,139.747434,186,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから186m。次点は手打蕎麦　金升（204m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,11,38,手打蕎麦　金升／そば／204m／品質1.0,日本大学開校の地／史跡・記念物／51m／品質0.884,東京大神宮／寺社／156m／品質0.92
CP082,35,W,西,35.707648,139.742972,34.4,皇后陛下行啓記念碑,史跡・記念物,史跡,35.708551,139.741907,139,0.8,1.0,0.7,1.0,1.0,0.878,史跡・記念物。仮プロットから139m。次点は明善稲荷大神（194m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,7,17,明善稲荷大神／寺社／194m／品質0.92,公開空き地／公園／70m／品質0.84,中華そば／ラーメン／286m／品質1.0
CP083,35,W,西,35.714297,139.74094,35.8,徳雲寺,寺社,寺社,35.715763,139.738618,266,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから266m。次点は善仁寺（301m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,8,6,善仁寺／寺社／301m／品質0.92,宗慶寺／寺社／344m／品質0.92,深光寺／寺社／359m／品質0.92
CP084,35,W,西,35.721028,139.742567,35.8,次郎稲荷,史跡・記念物,史跡,35.721427,139.741965,70,0.8,1.0,1.0,1.0,1.0,0.92,史跡・記念物。短い屋号。仮プロットから70m。次点は石鳥居（70m・品質0.884）で、品質で上回ったため採用。,OpenStreetMap,新規選定,6,12,石鳥居／史跡・記念物／70m／品質0.884,簸川神社／寺社／233m／品質0.92,小石川植物園／庭園／181m／品質0.84
CP085,35,NW,北西,35.727749,139.744196,34.8,千石一丁目 児童遊園,公園,みどり,35.726855,139.744349,100,0.6,1.0,0.7,1.0,1.0,0.798,公園・庭園。仮プロットから100m。次点は千石緑地（202m・品質0.84）で、距離で上回ったため採用。,OpenStreetMap,新規選定,7,9,千石緑地／公園／202m／品質0.84,駕籠町公園／公園／205m／品質0.84,まさひろ寿司／すし／338m／品質1.0
CP086,35,NW,北西,35.73336,139.749009,35.7,新脩六義園碑,史跡・記念物,史跡,35.732688,139.747539,152,0.8,1.0,1.0,1.0,1.0,0.92,史跡・記念物。短い屋号。仮プロットから152m。次点は髙はし（281m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,8,22,髙はし／すし／281m／品質1.0,六義園／史跡・記念物／236m／品質0.92,小松庵／そば／291m／品質1.0
CP087,35,NW,北西,35.738737,139.754732,35.5,大山祀神社,史跡・記念物,史跡,35.737861,139.755215,107,0.8,1.0,1.0,1.0,1.0,0.92,史跡・記念物。短い屋号。仮プロットから107m。次点は大龍寺（110m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,7,22,大龍寺／寺社／110m／品質0.92,上田端八幡神社／寺社／111m／品質0.92,松乃寿司／すし／220m／品質1.0
CP088,35,N,北,35.742318,139.761921,34.7,下田端夜雨,公園,みどり,35.741894,139.761746,50,0.6,1.0,1.0,1.0,1.0,0.84,公園・庭園。短い屋号。仮プロットから50m。次点は鉄道神社（241m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,6,13,鉄道神社／寺社／241m／品質0.92,麺屋 天王／麺／178m／品質0.84,東田端二丁目児童遊園／公園／130m／品質0.798
